model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
llama,F04_N,F04,nonroutine,4.0,157.66666666666666,0.35179271708683474,0.4915611247221629,1.4144555239680097,0.6926751636559562
llama,F04_R,F04,routine,4.0,146.33333333333334,0.7325375773651636,0.4596360921859741,-0.8238966256867614,0.16922200363955167
llama,F05_A,F05,ambiguous,4.0,451.0,0.5216864395968874,0.48787711064020794,,0.07003938730771796
llama,F05_N,F05,nonroutine,4.0,357.3333333333333,0.674455205811138,0.4610559145609538,0.008386284192439364,0.31638196716083505
llama,F05_R,F05,routine,4.0,501.6666666666667,0.7198110680595228,0.302372674147288,-2.319291100485116,0.02571027431429509
llama,F06_A,F06,ambiguous,4.0,335.3333333333333,0.7758833288494306,0.4201574722925822,,0.3192921725782361
llama,F06_N,F06,nonroutine,4.0,402.0,0.5652889016018307,0.5478703379631042,2.22588701234302,0.7568582979129688
llama,F06_R,F06,routine,3.6666666666666665,436.0,0.6450075669822164,0.47401806712150574,-1.6042700555020402,0.06744899195579648
llama,F07_A,F07,ambiguous,4.0,1954.3333333333333,0.6099539287892917,0.32088372111320496,,0.3200533716788696
llama,F07_N,F07,nonroutine,4.0,2270.0,0.6701568476029568,0.3363507290681203,0.7864509877200172,0.28786915382947753
llama,F07_R,F07,routine,4.0,1128.0,0.6676360783308862,0.3915700316429138,-0.42417604781487855,0.19651841264901446
llama,F08_A,F08,ambiguous,4.0,1961.3333333333333,0.7412976754682917,0.2999020616213481,,0.7142270774234066
llama,F08_N,F08,nonroutine,4.0,1331.6666666666667,0.707019661982213,0.39627761642138165,1.056990818150434,0.7309897475704702
llama,F08_R,F08,routine,4.0,1219.0,0.7447950022802395,0.2915158768494924,-0.9104410285474311,0.10411563451149625
llama,F09_A,F09,ambiguous,4.0,841.3333333333334,0.7172866487184285,0.39594584703445435,,0.038366176660835534
llama,F09_N,F09,nonroutine,4.0,2493.6666666666665,0.7965933540413911,0.3021371861298879,2.0085972292814147,0.6756255174696809
